ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
USER	Transferencias simultaneas válidas	23	END	1760280494681	1760280495465
USER	Transferencias simultaneas válidas	135	START	1760280495472	1760280495472
USER	Transferencias simultaneas válidas	136	START	1760280495472	1760280495472
REQUEST	81		Transferencia	1760280495144	1760280495475	OK	 
USER	Transferencias simultaneas válidas	81	END	1760280495143	1760280495475
REQUEST	89		Transferencia	1760280495191	1760280495476	OK	 
USER	Transferencias simultaneas válidas	89	END	1760280495187	1760280495477
REQUEST	49		Transferencia	1760280494863	1760280495477	OK	 
USER	Transferencias simultaneas válidas	49	END	1760280494862	1760280495478
REQUEST	88		Transferencia	1760280495190	1760280495478	OK	 
USER	Transferencias simultaneas válidas	88	END	1760280495187	1760280495479
REQUEST	90		Transferencia	1760280495188	1760280495485	OK	 
USER	Transferencias simultaneas válidas	90	END	1760280495187	1760280495486
USER	Transferencias simultaneas válidas	137	START	1760280495486	1760280495486
REQUEST	92		Transferencia	1760280495193	1760280495490	OK	 
USER	Transferencias simultaneas válidas	92	END	1760280495192	1760280495491
REQUEST	44		Transferencia	1760280494843	1760280495491	OK	 
USER	Transferencias simultaneas válidas	44	END	1760280494842	1760280495492
REQUEST	93		Transferencia	1760280495204	1760280495497	OK	 
USER	Transferencias simultaneas válidas	93	END	1760280495203	1760280495497
REQUEST	86		Transferencia	1760280495173	1760280495497	OK	 
USER	Transferencias simultaneas válidas	86	END	1760280495172	1760280495498
REQUEST	45		Transferencia	1760280494842	1760280495500	OK	 
USER	Transferencias simultaneas válidas	45	END	1760280494842	1760280495500
USER	Transferencias simultaneas válidas	138	START	1760280495501	1760280495501
REQUEST	97		Transferencia	1760280495223	1760280495501	OK	 
USER	Transferencias simultaneas válidas	97	END	1760280495222	1760280495502
USER	Transferencias simultaneas válidas	139	START	1760280495502	1760280495502
USER	Transferencias simultaneas válidas	140	START	1760280495502	1760280495502
REQUEST	99		Transferencia	1760280495234	1760280495506	OK	 
USER	Transferencias simultaneas válidas	99	END	1760280495233	1760280495506
REQUEST	36		Transferencia	1760280494796	1760280495511	OK	 
USER	Transferencias simultaneas válidas	36	END	1760280494795	1760280495512
REQUEST	74		Transferencia	1760280495094	1760280495514	OK	 
USER	Transferencias simultaneas válidas	74	END	1760280495093	1760280495514
REQUEST	95		Transferencia	1760280495219	1760280495516	OK	 
USER	Transferencias simultaneas válidas	95	END	1760280495218	1760280495516
REQUEST	83		Transferencia	1760280495146	1760280495517	OK	 
USER	Transferencias simultaneas válidas	141	START	1760280495517	1760280495517
USER	Transferencias simultaneas válidas	142	START	1760280495517	1760280495517
USER	Transferencias simultaneas válidas	83	END	1760280495144	1760280495518
REQUEST	94		Transferencia	1760280495218	1760280495520	OK	 
USER	Transferencias simultaneas válidas	94	END	1760280495218	1760280495521
USER	Transferencias simultaneas válidas	143	START	1760280495522	1760280495522
REQUEST	91		Transferencia	1760280495189	1760280495526	OK	 
USER	Transferencias simultaneas válidas	91	END	1760280495188	1760280495527
REQUEST	46		Transferencia	1760280494843	1760280495527	OK	 
USER	Transferencias simultaneas válidas	46	END	1760280494842	1760280495527
REQUEST	87		Transferencia	1760280495188	1760280495531	OK	 
USER	Transferencias simultaneas válidas	87	END	1760280495187	1760280495531
USER	Transferencias simultaneas válidas	144	START	1760280495533	1760280495533
REQUEST	84		Transferencia	1760280495173	1760280495537	OK	 
USER	Transferencias simultaneas válidas	84	END	1760280495172	1760280495537
REQUEST	96		Transferencia	1760280495223	1760280495538	OK	 
USER	Transferencias simultaneas válidas	96	END	1760280495222	1760280495538
REQUEST	100		Transferencia	1760280495249	1760280495542	OK	 
REQUEST	103		Transferencia	1760280495265	1760280495542	OK	 
USER	Transferencias simultaneas válidas	100	END	1760280495248	1760280495543
USER	Transferencias simultaneas válidas	103	END	1760280495265	1760280495543
REQUEST	85		Transferencia	1760280495173	1760280495543	OK	 
USER	Transferencias simultaneas válidas	85	END	1760280495172	1760280495544
REQUEST	101		Transferencia	1760280495249	1760280495548	OK	 
USER	Transferencias simultaneas válidas	101	END	1760280495249	1760280495548
USER	Transferencias simultaneas válidas	145	START	1760280495548	1760280495548
REQUEST	102		Transferencia	1760280495266	1760280495549	OK	 
USER	Transferencias simultaneas válidas	102	END	1760280495265	1760280495549
REQUEST	105		Transferencia	1760280495282	1760280495552	OK	 
USER	Transferencias simultaneas válidas	147	START	1760280495552	1760280495552
USER	Transferencias simultaneas válidas	148	START	1760280495552	1760280495552
USER	Transferencias simultaneas válidas	146	START	1760280495552	1760280495552
USER	Transferencias simultaneas válidas	105	END	1760280495281	1760280495553
REQUEST	109		Transferencia	1760280495297	1760280495560	OK	 
USER	Transferencias simultaneas válidas	109	END	1760280495297	1760280495561
REQUEST	110		Transferencia	1760280495297	1760280495562	OK	 
REQUEST	111		Transferencia	1760280495313	1760280495562	OK	 
USER	Transferencias simultaneas válidas	110	END	1760280495297	1760280495562
USER	Transferencias simultaneas válidas	111	END	1760280495312	1760280495562
USER	Transferencias simultaneas válidas	149	START	1760280495564	1760280495564
REQUEST	112		Transferencia	1760280495313	1760280495572	OK	 
REQUEST	107		Transferencia	1760280495283	1760280495573	OK	 
USER	Transferencias simultaneas válidas	107	END	1760280495282	1760280495573
USER	Transferencias simultaneas válidas	112	END	1760280495312	1760280495573
REQUEST	108		Transferencia	1760280495283	1760280495573	OK	 
USER	Transferencias simultaneas válidas	108	END	1760280495282	1760280495574
USER	Transferencias simultaneas válidas	151	START	1760280495580	1760280495580
USER	Transferencias simultaneas válidas	150	START	1760280495580	1760280495580
USER	Transferencias simultaneas válidas	152	START	1760280495582	1760280495582
REQUEST	104		Transferencia	1760280495265	1760280495583	OK	 
